Title,Price,Location,Link
"For Rent – Spacious 3BR/2BA Home on Private Lot | Johnson City – $1,800/mo","$1,800",Johnson City,https://tricities.craigslist.org/apa/d/johnson-city-for-rent-spacious-3br-2ba/7855115551.html
🏡 For Rent – Charming 2 Bedroom Home on Private 1-Acre Lot!,"$1,300",Johnson City,https://tricities.craigslist.org/apa/d/johnson-city-for-rent-charming-bedroom/7855117765.html
2BR 1.5BA @ 142 Keith Rd via 🍏Apple Realty #ForRent,"$1,200",Bristol,https://tricities.craigslist.org/apa/d/bristol-2br-15ba-142-keith-rd-via-apple/7855030502.html
🏡  2BR House by ETSU & VA | Pet Friendly | Carport,"$1,575",Johnson City,https://tricities.craigslist.org/apa/d/mountain-home-2br-house-by-etsu-va-pet/7858768368.html
Loft Apartment for Rent,$800,Johnson City,https://tricities.craigslist.org/apa/d/johnson-city-loft-apartment-for-rent/7858692139.html
ONE LEVEL RANCH STYLE HOME,"$1,250",UNICOI,https://tricities.craigslist.org/apa/d/unicoi-one-level-ranch-style-home/7858539185.html
2/2 mobile for rent,$875,Kingsport,https://tricities.craigslist.org/apa/d/kingsport-2-mobile-for-rent/7858402722.html
2BR / 1BA apartment - available 6/1,"$1,295",Johnson City,https://tricities.craigslist.org/apa/d/milligan-college-2br-1ba-apartment/7852783659.html
2 Bed 1 Bath Rental,$950,,https://tricities.craigslist.org/apa/d/greeneville-bed-bath-rental/7857951376.html
FURNISHED 2bd 1ba with All Utilities and WiFi!! Avail July 12th!,"$2,100",,https://tricities.craigslist.org/apa/d/milligan-college-furnished-2bd-1ba-with/7857418522.html
1 & 2 bedrooms for the month of July!!,"$1,144",Church Hill,https://tricities.craigslist.org/apa/d/mount-carmel-bedrooms-for-the-month-of/7857347148.html
3 Bedroom House,"$1,360","Greeneville,TN",https://tricities.craigslist.org/apa/d/greeneville-bedroom-house/7857300023.html
Three Bedroom Tree Street Home,"$1,600",,https://tricities.craigslist.org/apa/d/johnson-city-three-bedroom-tree-street/7856938323.html
2br 1 ba 1000sf home in JC central to everything!,"$1,195",,https://tricities.craigslist.org/apa/d/mountain-home-2br-ba-1000sf-home-in-jc/7856688165.html
3 Bedroom 1.5 Bath Townhouse,"$1,400",,https://tricities.craigslist.org/apa/d/bristol-bedroom-15-bath-townhouse/7856681440.html
Johnson City 2 bedroom apartment,$999,Johnson City,https://tricities.craigslist.org/apa/d/johnson-city-johnson-city-bedroom/7856220252.html
Johnson City 2 bedroom $999,$999,Johnson City,https://tricities.craigslist.org/apa/d/johnson-city-johnson-city-bedroom-999/7856217727.html
Laneys Way,"$1,500",,https://tricities.craigslist.org/apa/d/milligan-college-laneys-way/7855912784.html
Rustic One-Bedroom Cottage Rental on 16+ Acres in Greeneville,"$1,000",Greeneville,https://tricities.craigslist.org/apa/d/greeneville-rustic-one-bedroom-cottage/7855447222.html
2 Bedroom House For Rent,$980,Johnson City,https://tricities.craigslist.org/apa/d/johnson-city-bedroom-house-for-rent/7855006368.html
ONE LEVEL RANCH STYLE HOME,"$1,250",UNICOI,https://tricities.craigslist.org/apa/d/unicoi-one-level-ranch-style-home/7854369323.html
One bedroom close ETSU,$725,Johnson City,https://tricities.craigslist.org/apa/d/johnson-city-one-bedroom-close-etsu/7852742676.html
"$1,095 spacious 2 bed 1.5 bath close to downtown","$1,095",Johnson City,https://tricities.craigslist.org/apa/d/johnson-city-1095-spacious-bed-15-bath/7852742997.html
Two bedroom one bath,$950,Johnson City,https://tricities.craigslist.org/apa/d/johnson-city-two-bedroom-one-bath/7852742518.html
One bedroom close ETSU,$775,Johnson City,https://tricities.craigslist.org/apa/d/johnson-city-one-bedroom-close-etsu/7852742810.html
Two bed 1.5 bath North Johnson City,"$1,185",Johnson City,https://tricities.craigslist.org/apa/d/johnson-city-two-bed-15-bath-north/7852743132.html
Condo,"$1,400",Pine Flats,https://tricities.craigslist.org/apa/d/piney-flats-condo/7852513364.html
THREE-BEDROOM FOR RENT!!,"$1,576",Church Hill,https://tricities.craigslist.org/apa/d/mount-carmel-three-bedroom-for-rent/7852495314.html
ONE LEVEL RANCH STYLE HOME,"$1,400",UNICOI,https://tricities.craigslist.org/apa/d/unicoi-one-level-ranch-style-home/7852415276.html
